,City,Country,Latitude,Longitude,Date,Max Temperature (Celsius),Humidity(%),Cloudiness,Wind Speed(km/h)
313,marystown,CA,47.17,-55.15,1587947286,1.32,86,52,5.45
314,touros,BR,-5.2,-35.46,1587947286,25.0,94,40,1.5
315,ilulissat,GL,69.22,-51.1,1587947037,6.0,41,92,8.2
316,aranos,NA,-24.13,19.12,1587947287,22.16,18,71,3.46
317,jacareacanga,BR,-6.22,-57.75,1587947287,24.39,88,91,0.74
318,port hardy,CA,50.7,-127.42,1587947287,10.0,81,90,8.2
319,kavaratti,IN,10.57,72.64,1587947288,29.36,75,44,4.97
320,guerrero negro,MX,27.98,-114.06,1587947288,24.65,50,0,6.98
321,kasrawad,IN,22.13,75.6,1587947288,28.38,40,38,4.92
322,tagusao,PH,9.19,117.81,1587947289,29.05,66,100,1.99
323,tromso,NO,69.65,18.96,1587947289,0.0,95,75,7.7
324,broome,US,42.25,-75.83,1587947289,3.33,84,90,4.1
325,fare,PF,-16.7,-151.02,1587947290,28.65,73,56,7.81
326,geraldton,AU,-28.77,114.6,1587947290,19.0,68,100,4.6
327,svetlaya,RU,46.54,138.33,1587947290,3.95,73,24,1.41
328,caravelas,BR,-17.71,-39.25,1587947290,23.71,77,13,5.54
329,soeng sang,TH,14.43,102.46,1587947291,23.08,71,71,3.29
330,kalmunai,LK,7.42,81.82,1587947291,27.87,79,7,1.29
331,mecca,SA,21.43,39.83,1587947291,24.24,29,0,2.62
332,pafos,CY,34.77,32.42,1587947014,12.0,87,20,3.1
333,port lincoln,AU,-34.73,135.87,1587947292,15.34,63,26,1.45
334,ahipara,NZ,-35.17,173.17,1587947292,18.82,73,67,3.42
335,okato,NZ,-39.2,173.88,1587947292,17.22,73,91,4.02
336,kodinsk,RU,58.69,99.18,1587947292,8.79,50,0,1.22
337,ouadda,CF,8.08,22.4,1587947293,24.29,38,100,1.04
338,asau,RO,46.43,26.4,1587947293,3.89,74,80,0.9
339,chilakalurupet,IN,16.08,80.17,1587947293,27.51,87,98,3.75
340,moron,AR,-34.65,-58.62,1587947294,20.0,88,91,4.6
341,ous,RU,60.91,61.52,1587947294,1.42,87,99,1.19
342,paombong,PH,14.83,120.78,1587947294,31.11,62,20,1.0
343,srednekolymsk,RU,67.45,153.68,1587947294,0.22,98,36,2.01
344,norman wells,CA,65.28,-126.83,1587946998,0.0,91,40,9.3
345,alugan,PH,12.22,125.48,1587947295,27.57,83,95,5.8
346,ajaccio,FR,42.0,8.92,1587947295,12.0,87,75,3.6
347,ponta delgada,PT,37.73,-25.67,1587947295,13.0,71,20,2.1
348,ambam,CM,2.38,11.28,1587947295,19.69,82,68,0.21
349,sitka,US,57.05,-135.33,1587947024,9.0,61,90,9.8
